filesnames,status,datatype,title,authors,date,licence,identifier,publisher,rightsHolder,rights,collids
6dd08-31.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 67",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-31,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-32.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 69",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-32,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-33.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 71",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-33,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-34.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 73",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-34,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-35.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 75",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-35,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-36.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 77",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-36,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-37.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 79",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-37,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-38.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 81",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-38,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-39.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 83",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-39,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-40.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 85",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-40,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-41.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 87",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-41,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-42.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 89",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-42,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-43.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 91",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-43,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-44.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 93",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-44,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-45.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 95",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-45,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-46.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 97",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-46,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-47.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 99",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-47,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-48.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 101",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-48,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-49.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 103",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-49,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-50.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 1",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-50,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-51.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 2",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-51,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-52.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 3",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-52,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-53.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 4",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-53,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-54.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 5",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-54,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-55.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 6",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-55,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-56.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 7",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-56,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-57.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 8",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-57,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-58.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, encart 9",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-58,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
6dd08-59.tif,published,http://purl.org/coar/resource_type/c_c513,"Livre d'entrées, MN, 6DD8, page 105",null,1850-1869,CC-BY-NC-SA-4.0,6dd08-59,"Paris, Musée du Louvre","Paris, Musée du Louvre","0d64c085-f8b5-45f4-88a1-25ec7bd576fc,ROLE_OWNER;02fa6b30-6424-a5b0-10e4-815de8e960db,ROLE_ADMIN",10.34847/nkl.8eeczob9
